Latitude (decimal degrees):	38.496
Longitude (decimal degrees):	27.707
Elevation (m):	97
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	6.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20210401:0810,499.44,0.0,109.08,2.17,45.96,4.94,1.86,0.0
20210401:0910,663.12,0.0,139.99,2.79,53.11,6.31,2.14,0.0
20210401:1010,720.12,0.0,150.9,3.0,56.05,6.99,2.28,0.0
20210401:1110,1848.3,27.67,334.25,7.0,53.71,8.25,2.76,0.0
20210401:1210,656.7,0.0,139.99,2.79,46.98,8.82,3.31,0.0
20210401:1310,490.26,0.0,109.08,2.17,37.56,9.31,3.45,0.0
20210401:1410,795.96,8.02,158.02,3.26,26.75,9.15,3.45,0.0
20210401:1510,442.32,8.43,92.47,1.97,15.26,8.63,3.17,0.0
20210401:1610,18.3,0.0,11.82,0.24,3.53,7.28,2.48,0.0
20210401:1710,0.0,0.0,0.0,0.0,0.0,6.03,1.59,0.0
20210401:1810,0.0,0.0,0.0,0.0,0.0,4.97,1.31,0.0
20210401:1910,0.0,0.0,0.0,0.0,0.0,4.48,1.17,0.0
20210401:2010,0.0,0.0,0.0,0.0,0.0,3.39,0.9,0.0
20210401:2110,0.0,0.0,0.0,0.0,0.0,3.21,0.69,0.0
20210401:2210,0.0,0.0,0.0,0.0,0.0,3.18,0.41,0.0
20210401:2310,0.0,0.0,0.0,0.0,0.0,2.73,0.28,0.0
20210402:0010,0.0,0.0,0.0,0.0,0.0,2.36,0.28,0.0
20210402:0110,0.0,0.0,0.0,0.0,0.0,1.78,0.34,0.0
20210402:0210,0.0,0.0,0.0,0.0,0.0,1.31,0.41,0.0
20210402:0310,0.0,0.0,0.0,0.0,0.0,0.53,0.55,0.0
20210402:0410,0.0,0.0,2.57,0.05,2.43,-0.1,0.55,0.0
20210402:0510,877.44,112.94,82.08,3.51,14.16,0.49,0.34,0.0
20210402:0610,2300.76,320.89,130.48,7.34,25.71,3.67,0.48,0.0
20210402:0710,3485.4,535.71,159.04,10.87,36.66,6.35,0.48,0.0
20210402:0810,4357.32,721.18,173.94,13.74,46.32,8.29,0.76,0.0
20210402:0910,4897.2,850.96,178.38,15.66,53.49,9.87,1.03,0.0
20210402:1010,5111.04,908.12,174.7,16.42,56.43,11.3,1.38,0.0
20210402:1110,4985.64,882.49,167.59,15.95,54.05,12.36,1.66,0.0
20210402:1210,4513.86,776.7,157.12,14.29,47.25,12.92,1.86,0.0
20210402:1310,3622.32,579.16,152.48,11.39,37.79,13.19,2.07,0.0
20210402:1410,1914.12,192.0,193.64,6.53,26.94,13.07,2.07,0.0
20210402:1510,441.96,8.31,94.26,2.01,15.43,12.48,1.93,0.0
20210402:1610,20.46,0.3,12.55,0.27,3.71,11.42,1.45,0.0
20210402:1710,0.0,0.0,0.0,0.0,0.0,9.76,1.52,0.0
20210402:1810,0.0,0.0,0.0,0.0,0.0,7.69,1.45,0.0
20210402:1910,0.0,0.0,0.0,0.0,0.0,6.9,1.45,0.0
20210402:2010,0.0,0.0,0.0,0.0,0.0,5.43,1.52,0.0
20210402:2110,0.0,0.0,0.0,0.0,0.0,4.17,1.52,0.0
20210402:2210,0.0,0.0,0.0,0.0,0.0,3.24,1.52,0.0
20210402:2310,0.0,0.0,0.0,0.0,0.0,2.47,1.52,0.0
20210403:0010,0.0,0.0,0.0,0.0,0.0,1.98,1.45,0.0
20210403:0110,0.0,0.0,0.0,0.0,0.0,1.62,1.52,0.0
20210403:0210,0.0,0.0,0.0,0.0,0.0,2.06,1.45,0.0
20210403:0310,0.0,0.0,0.0,0.0,0.0,2.48,1.52,0.0
20210403:0410,0.0,0.0,1.71,0.04,2.73,2.82,1.52,0.0
20210403:0510,876.72,117.36,80.87,3.6,14.46,5.09,1.24,0.0
20210403:0610,2058.3,249.84,160.46,6.84,26.01,8.84,1.17,0.0
20210403:0710,3379.56,506.78,170.47,10.69,36.98,11.27,1.59,0.0
20210403:0810,4267.98,672.5,194.13,13.42,46.68,12.72,2.55,0.0
20210403:0910,4849.2,796.9,200.06,15.28,53.88,13.92,3.24,0.0
20210403:1010,5010.06,825.13,210.53,15.84,56.82,14.55,3.45,0.0
20210403:1110,4869.6,804.41,200.19,15.39,54.39,15.14,3.52,0.0
20210403:1210,4036.92,556.09,260.73,12.82,47.53,15.05,3.59,0.0
20210403:1310,3533.22,540.54,166.04,11.1,38.01,15.03,3.79,0.0
20210403:1410,2412.96,355.91,127.92,7.87,27.13,14.23,3.72,0.0
20210403:1510,930.66,115.57,94.59,3.78,15.61,13.38,3.45,0.0
20210403:1610,26.64,0.27,14.35,0.31,3.89,12.19,3.17,0.0
20210403:1710,0.0,0.0,0.0,0.0,0.0,10.81,2.55,0.0
20210403:1810,0.0,0.0,0.0,0.0,0.0,9.93,2.28,0.0
20210403:1910,0.0,0.0,0.0,0.0,0.0,10.04,2.21,0.0
20210403:2010,0.0,0.0,0.0,0.0,0.0,9.56,1.86,0.0
20210403:2110,0.0,0.0,0.0,0.0,0.0,9.13,1.79,0.0
20210403:2210,0.0,0.0,0.0,0.0,0.0,8.55,1.66,0.0
20210403:2310,0.0,0.0,0.0,0.0,0.0,7.24,1.59,0.0
20210404:0010,0.0,0.0,0.0,0.0,0.0,6.2,1.66,0.0
20210404:0110,0.0,0.0,0.0,0.0,0.0,5.51,1.66,0.0
20210404:0210,0.0,0.0,0.0,0.0,0.0,5.4,1.79,0.0
20210404:0310,0.0,0.0,0.0,0.0,0.0,5.04,1.79,0.0
20210404:0410,0.0,0.0,2.57,0.05,3.03,4.62,1.86,0.0
20210404:0510,192.84,0.0,50.91,1.01,14.76,6.16,1.59,0.0
20210404:0610,239.34,0.0,60.9,1.21,26.32,9.39,1.66,0.0
20210404:0710,1117.86,10.4,219.2,4.5,37.31,12.39,2.14,0.0
20210404:0810,3962.52,549.09,252.37,12.64,47.03,14.19,3.03,0.0
20210404:0910,2990.16,200.37,400.06,10.49,54.26,15.66,3.66,0.0
20210404:1010,2471.82,97.47,399.34,9.17,57.2,16.61,4.21,0.0
20210404:1110,453.6,0.0,105.45,2.1,54.73,17.16,4.14,0.0
20210404:1210,3024.72,255.41,353.92,10.34,47.8,17.4,4.21,0.0
20210404:1310,1264.2,18.52,242.89,5.08,38.24,17.14,3.86,0.0
20210404:1410,1839.24,180.9,193.72,6.44,27.33,17.19,4.0,0.0
20210404:1510,442.08,9.07,95.16,2.04,15.79,16.6,3.72,0.0
20210404:1610,23.46,0.0,13.64,0.27,4.07,15.21,3.86,0.0
20210404:1710,0.0,0.0,0.0,0.0,0.0,13.86,3.66,0.0
20210404:1810,0.0,0.0,0.0,0.0,0.0,13.31,3.59,0.0
20210404:1910,0.0,0.0,0.0,0.0,0.0,12.73,3.38,0.0
20210404:2010,0.0,0.0,0.0,0.0,0.0,11.96,2.83,0.0
20210404:2110,0.0,0.0,0.0,0.0,0.0,11.68,2.69,0.0
20210404:2210,0.0,0.0,0.0,0.0,0.0,11.59,2.62,0.0
20210404:2310,0.0,0.0,0.0,0.0,0.0,11.56,2.76,0.0
20210405:0010,0.0,0.0,0.0,0.0,0.0,11.4,2.69,0.0
20210405:0110,0.0,0.0,0.0,0.0,0.0,11.29,2.48,0.0
20210405:0210,0.0,0.0,0.0,0.0,0.0,11.09,2.48,0.0
20210405:0310,0.0,0.0,0.0,0.0,0.0,10.98,2.41,0.0
20210405:0410,0.0,0.0,1.71,0.04,3.33,11.07,2.41,0.0
20210405:0510,40.98,0.0,18.18,0.36,15.05,11.18,2.28,0.0
20210405:0610,223.32,0.0,58.18,1.16,26.63,11.58,2.14,0.0
20210405:0710,465.78,0.0,106.36,2.12,37.63,13.35,2.34,0.0
20210405:0810,647.46,0.0,141.81,2.82,47.39,14.34,2.14,0.0
20210405:0910,1146.78,0.0,238.16,4.74,54.65,15.27,2.41,0.0
20210405:1010,1087.68,0.0,227.26,4.52,57.58,15.88,2.62,0.0
20210405:1110,1819.08,30.69,339.04,7.14,55.06,15.96,2.48,0.0
20210405:1210,938.7,0.0,199.08,3.96,48.07,16.75,3.17,0.0
20210405:1310,538.2,0.0,121.81,2.42,38.45,16.39,2.41,0.0
20210405:1410,145.5,0.0,42.72,0.85,27.52,15.47,1.79,0.0
20210405:1510,117.06,0.0,36.36,0.72,15.97,14.45,1.59,0.0
20210405:1610,1.8,0.0,6.36,0.13,4.24,13.74,1.52,0.0
20210405:1710,0.0,0.0,0.0,0.0,0.0,12.72,1.31,0.0
20210405:1810,0.0,0.0,0.0,0.0,0.0,11.77,1.31,0.0
20210405:1910,0.0,0.0,0.0,0.0,0.0,10.96,1.1,0.0
20210405:2010,0.0,0.0,0.0,0.0,0.0,10.01,1.17,0.0
20210405:2110,0.0,0.0,0.0,0.0,0.0,9.15,1.38,0.0
20210405:2210,0.0,0.0,0.0,0.0,0.0,8.34,1.52,0.0
20210405:2310,0.0,0.0,0.0,0.0,0.0,7.85,1.79,0.0
20210406:0010,0.0,0.0,0.0,0.0,0.0,8.28,1.79,0.0
20210406:0110,0.0,0.0,0.0,0.0,0.0,8.19,1.66,0.0
20210406:0210,0.0,0.0,0.0,0.0,0.0,8.26,1.66,0.0
20210406:0310,0.0,0.0,0.0,0.0,0.0,8.27,1.79,0.0
20210406:0410,0.0,0.0,2.57,0.05,3.62,8.05,1.93,0.0
20210406:0510,87.54,0.0,29.09,0.58,15.35,8.8,1.93,0.0
20210406:0610,936.36,17.49,177.11,3.78,26.93,10.97,1.59,0.0
20210406:0710,563.1,0.0,124.54,2.48,37.96,12.17,1.86,0.0
20210406:0810,1531.38,19.79,293.98,6.11,47.74,15.82,1.93,0.0
20210406:0910,1991.82,46.99,361.23,7.79,55.03,18.61,2.83,0.0
20210406:1010,719.28,0.0,159.08,3.16,57.96,20.21,3.66,0.0
20210406:1110,2513.1,116.33,397.13,9.39,55.39,20.77,4.83,0.0
20210406:1210,3917.4,531.19,270.22,12.79,48.33,20.03,5.03,0.0
20210406:1310,3181.26,421.88,222.08,10.45,38.67,19.03,4.48,0.0
20210406:1410,661.56,2.2,144.7,2.91,27.7,18.98,4.21,0.0
20210406:1510,933.9,124.28,91.79,4.0,16.14,18.38,4.9,0.0
20210406:1610,39.6,3.06,17.57,0.71,4.42,16.85,4.76,0.0
20210406:1710,0.0,0.0,0.0,0.0,0.0,15.32,4.55,0.0
20210406:1810,0.0,0.0,0.0,0.0,0.0,14.29,4.34,0.0
20210406:1910,0.0,0.0,0.0,0.0,0.0,13.86,4.14,0.0
20210406:2010,0.0,0.0,0.0,0.0,0.0,13.29,3.79,0.0
20210406:2110,0.0,0.0,0.0,0.0,0.0,12.78,3.66,0.0
20210406:2210,0.0,0.0,0.0,0.0,0.0,12.11,3.1,0.0
20210406:2310,0.0,0.0,0.0,0.0,0.0,11.87,2.97,0.0
20210407:0010,0.0,0.0,0.0,0.0,0.0,11.69,2.9,0.0
20210407:0110,0.0,0.0,0.0,0.0,0.0,11.39,2.48,0.0
20210407:0210,0.0,0.0,0.0,0.0,0.0,11.24,2.28,0.0
20210407:0310,0.0,0.0,0.0,0.0,0.0,10.9,2.41,0.0
20210407:0410,3.12,0.0,6.85,0.14,3.91,10.84,2.62,0.0
20210407:0510,873.84,100.86,97.02,3.74,15.64,10.92,2.76,0.0
20210407:0610,1902.0,186.54,192.1,6.6,27.23,11.51,3.38,0.0
20210407:0710,3048.72,351.66,249.34,9.95,38.27,12.83,3.86,0.0
20210407:0810,3922.38,493.32,288.58,12.61,48.08,14.2,4.62,0.0
20210407:0910,5005.98,833.7,187.64,15.9,55.41,15.17,4.69,0.0
20210407:1010,5162.28,874.89,190.57,16.53,58.34,15.79,4.34,0.0
20210407:1110,4984.08,837.49,188.83,15.97,55.72,16.24,4.34,0.0
20210407:1210,4473.72,737.09,173.73,14.31,48.59,16.33,4.28,0.0
20210407:1310,3575.88,555.64,161.08,11.5,38.89,15.93,4.14,0.0
20210407:1410,2476.62,381.05,118.15,8.34,27.89,15.35,3.86,0.0
20210407:1510,1027.2,152.41,82.56,4.38,16.32,14.53,3.59,0.0
20210407:1610,40.32,3.33,17.47,0.78,4.59,13.42,3.24,0.0
20210407:1710,0.0,0.0,0.0,0.0,0.0,12.11,2.97,0.0
20210407:1810,0.0,0.0,0.0,0.0,0.0,11.06,2.76,0.0
20210407:1910,0.0,0.0,0.0,0.0,0.0,10.79,2.0,0.0
20210407:2010,0.0,0.0,0.0,0.0,0.0,10.4,2.07,0.0
20210407:2110,0.0,0.0,0.0,0.0,0.0,10.13,2.28,0.0
20210407:2210,0.0,0.0,0.0,0.0,0.0,9.99,2.28,0.0
20210407:2310,0.0,0.0,0.0,0.0,0.0,9.85,2.21,0.0
20210408:0010,0.0,0.0,0.0,0.0,0.0,9.86,2.07,0.0
20210408:0110,0.0,0.0,0.0,0.0,0.0,9.8,1.86,0.0
20210408:0210,0.0,0.0,0.0,0.0,0.0,9.68,1.72,0.0
20210408:0310,0.0,0.0,0.0,0.0,0.0,9.75,2.14,0.0
20210408:0410,0.0,0.0,3.64,0.07,4.2,9.51,2.07,0.0
20210408:0510,87.0,0.0,29.09,0.58,15.93,9.95,2.07,0.0
20210408:0610,452.88,0.0,102.72,2.04,27.53,10.41,1.66,0.0
20210408:0710,318.96,0.0,77.27,1.54,38.59,11.73,1.86,0.0
20210408:0810,853.14,0.0,179.99,3.58,48.43,12.86,2.14,0.0
20210408:0910,3623.52,339.89,393.3,12.32,55.78,13.94,2.69,0.0
20210408:1010,3414.42,265.05,422.59,11.85,58.72,14.28,3.1,0.0
20210408:1110,1479.24,6.99,294.31,5.95,56.04,14.92,2.97,0.0
20210408:1210,1330.32,6.92,265.2,5.37,48.86,14.57,2.9,0.0
20210408:1310,731.4,0.0,156.35,3.11,39.1,12.55,3.17,0.0
20210408:1410,144.78,0.0,41.81,0.83,28.08,10.93,2.48,0.0
20210408:1510,44.82,0.0,19.09,0.38,16.49,10.04,2.14,0.0
20210408:1610,4.32,0.0,7.27,0.14,4.77,8.17,2.0,0.0
20210408:1710,0.0,0.0,0.0,0.0,0.0,6.71,2.0,0.0
20210408:1810,0.0,0.0,0.0,0.0,0.0,5.51,2.0,0.0
20210408:1910,0.0,0.0,0.0,0.0,0.0,4.29,1.93,0.0
20210408:2010,0.0,0.0,0.0,0.0,0.0,3.29,1.79,0.0
20210408:2110,0.0,0.0,0.0,0.0,0.0,2.41,1.72,0.0
20210408:2210,0.0,0.0,0.0,0.0,0.0,1.79,1.79,0.0
20210408:2310,0.0,0.0,0.0,0.0,0.0,1.17,2.14,0.0
20210409:0010,0.0,0.0,0.0,0.0,0.0,0.97,2.55,0.0
20210409:0110,0.0,0.0,0.0,0.0,0.0,0.79,2.55,0.0
20210409:0210,0.0,0.0,0.0,0.0,0.0,0.55,2.0,0.0
20210409:0310,0.0,0.0,0.0,0.0,0.0,0.4,1.93,0.0
20210409:0410,10.14,0.0,9.09,0.18,4.49,0.45,1.93,0.0
20210409:0510,920.34,88.23,108.17,3.78,16.21,0.93,2.62,0.0
20210409:0610,897.36,8.54,170.71,3.53,27.82,2.03,3.86,0.0
20210409:0710,1461.72,22.42,258.73,5.46,38.9,3.15,4.34,0.0
20210409:0810,1522.5,10.32,283.76,5.79,48.77,4.55,4.55,0.0
20210409:0910,1643.46,9.27,308.2,6.26,56.15,5.53,4.76,0.0
20210409:1010,636.48,0.0,134.54,2.68,59.09,6.13,4.41,0.0
20210409:1110,725.1,0.0,150.9,3.0,56.36,6.49,4.9,0.0
20210409:1210,1948.86,41.3,333.05,7.18,49.11,6.54,5.17,0.0
20210409:1310,2147.4,104.4,305.24,7.51,39.31,6.31,5.38,0.0
20210409:1410,543.12,0.0,117.26,2.33,28.26,6.1,5.24,0.0
20210409:1510,194.1,0.0,50.91,1.01,16.66,5.33,4.83,0.0
20210409:1610,45.48,0.15,18.85,0.4,4.94,4.36,4.07,0.0
20210409:1710,0.0,0.0,0.0,0.0,0.0,3.31,3.86,0.0
20210409:1810,0.0,0.0,0.0,0.0,0.0,2.5,3.52,0.0
20210409:1910,0.0,0.0,0.0,0.0,0.0,1.51,3.03,0.0
20210409:2010,0.0,0.0,0.0,0.0,0.0,0.99,2.62,0.0
20210409:2110,0.0,0.0,0.0,0.0,0.0,0.5,2.34,0.0
20210409:2210,0.0,0.0,0.0,0.0,0.0,0.0,2.07,0.0
20210409:2310,0.0,0.0,0.0,0.0,0.0,-0.58,1.93,0.0
20210410:0010,0.0,0.0,0.0,0.0,0.0,-1.27,1.72,0.0
20210410:0110,0.0,0.0,0.0,0.0,0.0,-2.19,1.59,0.0
20210410:0210,0.0,0.0,0.0,0.0,0.0,-3.02,1.45,0.0
20210410:0310,0.0,0.0,0.0,0.0,0.0,-3.5,1.52,0.0
20210410:0410,57.9,0.11,21.22,0.47,4.78,-3.67,1.45,0.0
20210410:0510,1118.16,164.31,77.37,4.68,16.5,-1.4,1.52,0.0
20210410:0610,2625.3,378.4,121.79,8.55,28.11,0.92,2.28,0.0
20210410:0710,3922.8,593.07,150.8,12.12,39.21,2.84,3.59,0.0
20210410:0810,4708.98,708.61,199.05,14.49,49.11,4.49,4.14,0.0
20210410:0910,4981.26,676.05,288.12,15.37,56.53,6.33,5.59,0.0
20210410:1010,5558.64,899.38,193.0,17.14,59.46,7.58,5.66,0.0
20210410:1110,5321.7,849.26,196.54,16.48,56.68,8.19,5.45,0.0
20210410:1210,4744.5,737.48,185.5,14.7,49.37,8.54,5.45,0.0
20210410:1310,3742.74,536.72,181.57,11.74,39.52,8.66,5.66,0.0
20210410:1410,2613.3,384.53,121.98,8.64,28.44,8.38,5.31,0.0
20210410:1510,1094.82,157.24,84.22,4.65,16.84,7.3,4.62,0.0
20210410:1610,69.3,1.5,24.32,0.76,5.11,6.13,3.93,0.0
20210410:1710,0.0,0.0,0.0,0.0,0.0,4.76,3.31,0.0
20210410:1810,0.0,0.0,0.0,0.0,0.0,3.68,2.83,0.0
20210410:1910,0.0,0.0,0.0,0.0,0.0,3.18,2.14,0.0
20210410:2010,0.0,0.0,0.0,0.0,0.0,2.07,1.66,0.0
20210410:2110,0.0,0.0,0.0,0.0,0.0,0.59,1.38,0.0
20210410:2210,0.0,0.0,0.0,0.0,0.0,-0.22,1.31,0.0
20210410:2310,0.0,0.0,0.0,0.0,0.0,-0.75,1.24,0.0
20210411:0010,0.0,0.0,0.0,0.0,0.0,-1.11,1.17,0.0
20210411:0110,0.0,0.0,0.0,0.0,0.0,-1.3,1.1,0.0
20210411:0210,0.0,0.0,0.0,0.0,0.0,-1.52,1.1,0.0
20210411:0310,0.0,0.0,0.0,0.0,0.0,-1.9,1.17,0.0
20210411:0410,65.28,0.14,23.02,0.51,5.06,-2.21,1.17,0.0
20210411:0510,1109.94,161.55,78.87,4.7,16.78,-0.76,1.1,0.0
20210411:0610,2546.52,362.99,128.15,8.46,28.4,2.64,1.66,0.0
20210411:0710,3754.98,562.01,161.34,11.86,39.52,3.88,2.28,0.0
20210411:0810,4679.94,743.83,176.28,14.72,49.45,5.56,2.83,0.0
20210411:0910,5223.06,859.15,185.05,16.51,56.89,7.22,3.31,0.0
20210411:1010,5384.82,898.98,187.95,17.13,59.83,8.47,3.45,0.0
20210411:1110,5180.4,860.42,185.07,16.53,57.0,9.52,3.45,0.0
20210411:1210,4668.66,766.79,165.73,14.9,49.62,10.34,3.52,0.0
20210411:1310,3746.88,580.13,155.34,12.04,39.73,10.48,3.66,0.0
20210411:1410,2553.9,381.45,121.37,8.64,28.62,10.13,3.72,0.0
20210411:1510,1053.96,148.72,86.5,4.58,17.01,9.35,3.59,0.0
20210411:1610,68.58,1.35,24.35,0.76,5.29,8.15,3.17,0.0
20210411:1710,0.0,0.0,0.0,0.0,0.0,6.47,2.69,0.0
20210411:1810,0.0,0.0,0.0,0.0,0.0,5.26,2.0,0.0
20210411:1910,0.0,0.0,0.0,0.0,0.0,4.7,1.66,0.0
20210411:2010,0.0,0.0,0.0,0.0,0.0,3.23,1.24,0.0
20210411:2110,0.0,0.0,0.0,0.0,0.0,2.55,1.1,0.0
20210411:2210,0.0,0.0,0.0,0.0,0.0,2.17,1.03,0.0
20210411:2310,0.0,0.0,0.0,0.0,0.0,1.57,1.1,0.0
20210412:0010,0.0,0.0,0.0,0.0,0.0,1.65,1.03,0.0
20210412:0110,0.0,0.0,0.0,0.0,0.0,1.32,1.03,0.0
20210412:0210,0.0,0.0,0.0,0.0,0.0,1.64,0.97,0.0
20210412:0310,0.0,0.0,0.0,0.0,0.0,1.58,0.76,0.0
20210412:0410,57.54,1.7,21.06,0.92,5.34,1.44,0.83,0.0
20210412:0510,1061.76,148.11,84.06,4.58,17.06,1.97,0.83,0.0
20210412:0610,2455.32,352.01,128.36,8.34,28.69,5.21,1.31,0.0
20210412:0710,3624.66,553.37,159.46,11.76,39.82,7.15,1.72,0.0
20210412:0810,4487.28,724.48,176.34,14.49,49.78,8.71,2.21,0.0
20210412:0910,4964.28,824.55,191.45,16.15,57.26,10.2,2.41,0.0
20210412:1010,5142.9,875.66,189.11,16.86,60.2,11.43,2.48,0.0
20210412:1110,4948.08,836.04,186.18,16.24,57.32,12.42,2.55,0.0
20210412:1210,4458.48,744.96,166.93,14.65,49.87,12.94,2.41,0.0
20210412:1310,3603.12,576.73,149.31,11.95,39.93,13.23,2.21,0.0
20210412:1410,2411.94,362.75,124.53,8.45,28.8,13.48,2.14,0.0
20210412:1510,1010.82,144.93,86.0,4.54,17.18,13.11,2.21,0.0
20210412:1610,70.92,1.44,25.22,0.83,5.46,12.13,1.79,0.0
20210412:1710,0.0,0.0,0.0,0.0,0.0,10.45,1.31,0.0
20210412:1810,0.0,0.0,0.0,0.0,0.0,8.97,1.1,0.0
20210412:1910,0.0,0.0,0.0,0.0,0.0,10.0,0.62,0.0
20210412:2010,0.0,0.0,0.0,0.0,0.0,9.45,0.48,0.0
20210412:2110,0.0,0.0,0.0,0.0,0.0,8.98,0.41,0.0
20210412:2210,0.0,0.0,0.0,0.0,0.0,8.54,0.55,0.0
20210412:2310,0.0,0.0,0.0,0.0,0.0,8.1,0.76,0.0
20210413:0010,0.0,0.0,0.0,0.0,0.0,7.65,0.83,0.0
20210413:0110,0.0,0.0,0.0,0.0,0.0,6.99,0.97,0.0
20210413:0210,0.0,0.0,0.0,0.0,0.0,5.77,1.17,0.0
20210413:0310,0.0,0.0,0.0,0.0,0.0,4.68,1.24,0.0
20210413:0410,52.32,2.51,19.83,1.05,5.62,4.26,1.24,0.0
20210413:0510,1053.06,149.19,84.67,4.65,17.33,5.68,0.83,0.0
20210413:0610,2346.36,340.17,133.69,8.28,28.97,10.4,0.55,0.0
20210413:0710,3369.84,515.25,176.98,11.5,40.12,12.22,0.34,0.0
20210413:0810,4113.48,688.47,192.32,14.25,50.11,13.86,0.07,0.0
20210413:0910,4551.6,778.87,212.84,15.86,57.62,15.21,0.41,0.0
20210413:1010,4303.74,583.99,334.56,14.94,60.56,16.32,1.17,0.0
20210413:1110,2734.8,146.89,414.81,10.22,57.63,17.06,1.66,0.0
20210413:1210,1767.48,34.87,327.48,7.0,50.12,17.41,2.21,0.0
20210413:1310,1512.18,35.08,275.48,5.99,40.14,17.1,2.62,0.0
20210413:1410,366.72,0.0,88.18,1.75,28.98,16.33,2.48,0.0
20210413:1510,795.66,59.52,119.92,3.54,17.35,15.16,2.0,0.0
20210413:1610,73.68,1.29,26.02,0.85,5.63,13.6,1.93,0.0
20210413:1710,0.0,0.0,0.0,0.0,0.0,12.32,1.59,0.0
20210413:1810,0.0,0.0,0.0,0.0,0.0,11.29,1.38,0.0
20210413:1910,0.0,0.0,0.0,0.0,0.0,10.9,1.45,0.0
20210413:2010,0.0,0.0,0.0,0.0,0.0,10.16,1.45,0.0
20210413:2110,0.0,0.0,0.0,0.0,0.0,9.07,1.52,0.0
20210413:2210,0.0,0.0,0.0,0.0,0.0,8.12,1.52,0.0
20210413:2310,0.0,0.0,0.0,0.0,0.0,7.24,1.59,0.0
20210414:0010,0.0,0.0,0.0,0.0,0.0,6.29,1.66,0.0
20210414:0110,0.0,0.0,0.0,0.0,0.0,5.33,1.66,0.0
20210414:0210,0.0,0.0,0.0,0.0,0.0,4.73,1.66,0.0
20210414:0310,0.0,0.0,0.0,0.0,0.0,4.11,1.66,0.0
20210414:0410,75.9,3.32,25.16,1.16,5.89,3.67,1.66,0.0
20210414:0510,1048.56,143.24,88.99,4.65,17.61,6.46,1.31,0.0
20210414:0610,2419.2,359.41,127.59,8.55,29.25,11.55,1.45,0.0
20210414:0710,3579.78,562.61,156.55,11.97,40.42,13.66,2.62,0.0
20210414:0810,4429.32,725.59,176.45,14.63,50.44,14.9,3.45,0.0
20210414:0910,4915.68,814.11,196.8,16.2,57.98,15.9,4.14,0.0
20210414:1010,5064.12,837.63,207.11,16.69,60.92,16.46,4.48,0.0
20210414:1110,4916.82,812.93,196.77,16.19,57.94,16.65,4.62,0.0
20210414:1210,4407.18,714.29,180.53,14.52,50.37,16.51,4.48,0.0
20210414:1310,1962.0,90.47,303.65,7.34,40.34,16.32,4.48,0.0
20210414:1410,965.7,14.41,188.43,3.98,29.16,15.56,4.14,0.0
20210414:1510,522.54,9.64,109.46,2.37,17.51,14.61,3.59,0.0
20210414:1610,89.46,1.07,29.76,0.85,5.8,13.6,2.9,0.0
20210414:1710,0.0,0.0,0.0,0.0,0.0,12.45,2.34,0.0
20210414:1810,0.0,0.0,0.0,0.0,0.0,11.67,1.72,0.0
20210414:1910,0.0,0.0,0.0,0.0,0.0,11.01,1.66,0.0
20210414:2010,0.0,0.0,0.0,0.0,0.0,9.63,1.38,0.0
20210414:2110,0.0,0.0,0.0,0.0,0.0,9.12,1.1,0.0
20210414:2210,0.0,0.0,0.0,0.0,0.0,8.42,1.1,0.0
20210414:2310,0.0,0.0,0.0,0.0,0.0,7.56,1.17,0.0
20210415:0010,0.0,0.0,0.0,0.0,0.0,6.8,1.24,0.0
20210415:0110,0.0,0.0,0.0,0.0,0.0,6.01,1.31,0.0
20210415:0210,0.0,0.0,0.0,0.0,0.0,5.34,1.38,0.0
20210415:0310,0.0,0.0,0.0,0.0,0.0,4.71,1.38,0.0
20210415:0410,96.06,2.67,29.86,1.09,6.17,4.28,1.38,0.0
20210415:0510,768.24,40.01,126.18,3.31,17.88,7.22,0.9,0.0
20210415:0610,2370.54,346.71,132.93,8.48,29.53,11.91,1.03,0.0
20210415:0710,3463.86,535.74,167.02,11.77,40.71,13.69,1.66,0.0
20210415:0810,4253.52,674.34,199.52,14.27,50.76,14.86,2.48,0.0
20210415:0910,4632.72,719.23,245.7,15.61,58.34,15.93,2.76,0.0
20210415:1010,4069.32,445.42,388.13,13.94,61.28,16.83,3.72,0.0
20210415:1110,2785.32,145.63,416.14,10.25,58.24,17.15,4.07,0.0
20210415:1210,2218.86,85.8,361.85,8.39,50.61,17.18,4.0,0.0
20210415:1310,2916.78,321.89,266.22,10.13,40.54,17.14,3.52,0.0
20210415:1410,1792.86,156.25,209.91,6.69,29.34,16.91,3.31,0.0
20210415:1510,816.96,64.05,120.53,3.69,17.68,15.98,2.83,0.0
20210415:1610,81.3,1.9,27.75,1.07,5.97,14.8,2.34,0.0
20210415:1710,0.0,0.0,0.0,0.0,0.0,13.19,2.0,0.0
20210415:1810,0.0,0.0,0.0,0.0,0.0,11.88,1.59,0.0
20210415:1910,0.0,0.0,0.0,0.0,0.0,10.71,1.38,0.0
20210415:2010,0.0,0.0,0.0,0.0,0.0,9.88,1.17,0.0
20210415:2110,0.0,0.0,0.0,0.0,0.0,9.36,1.03,0.0
20210415:2210,0.0,0.0,0.0,0.0,0.0,9.4,0.9,0.0
